TAG	| IMAGE CPTS | SPACE CPTS
DOOR3.3.jpg | [(200,180),(800,120),(240,680),(775,710),(270,1180),(750,1300)] | [(1170,3490,2160),(2170,3490,2160),(1170,3490,1080),(2170,3490,1080),(1170,3490,50),(2170,3490,50)]
DOOR3.4.jpg | [(130,100),(850,110),(160,730),(810,725),(200,1330),(770,1330)] | [(1170,3490,2160),(2170,3490,2160),(1170,3490,1080),(2170,3490,1080),(1170,3490,50),(2170,3490,50)]
DOOR3.5.jpg | [(300,150),(780,240),(305,735),(760,705),(310,1320),(740,1170)] | [(1170,3490,2160),(2170,3490,2160),(1170,3490,1080),(2170,3490,1080),(1170,3490,50),(2170,3490,50)]
DOOR4.0.jpg | [(10,30),(430,30),(870,30),(30,515),(430,515),(850,515),(60,980),(430,990),(840,1000)] | [(0,130,2170),(0,1050,2170),(0,1970,2170),(0,130,1085),(0,1050,1085),(0,1970,1085),(0,130,0),(0,1050,0),(0,1970,0)]
DOOR4.1.jpg | [(100,200),(540,200),(1010,200),(100,715),(540,715),(1000,715),(100,1260),(540,1260),(1000,1260)] | [(0,130,2170),(0,1050,2170),(0,1970,2170),(0,130,1085),(0,1050,1085),(0,1970,1085),(0,130,0),(0,1050,0),(0,1970,0)]
DOOR4.4.jpg | [(90,100),(500,80),(1000,70),(85,610),(490,625),(985,630),(80,1120),(495,1160),(970,1200)] | [(0,130,2170),(0,1050,2170),(0,1970,2170),(0,130,1085),(0,1050,1085),(0,1970,1085),(0,130,0),(0,1050,0),(0,1970,0)]
DOOR5.1.jpg | [(30,150),(500,200),(45,590),(500,525),(60,1030),(500,850)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR5.2.jpg | [(90,350),(590,50),(90,725),(590,725),(90,1100),(590,1400)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR5.3.jpg | [(230,400),(850,300),(230,725),(840,740),(230,1050),(830,1180)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR5.4.jpg | [(200,450),(920,450),(200,855),(930,855),(180,1260),(940,1260)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR5.5.jpg | [(260,190),(980,300),(270,720),(990,720),(280,1300),(1000,1120)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR5.6.jpg | [(400,190),(720,420),(430,760),(735,745),(460,1330),(750,1050)] | [(3300,0,2140),(1550,0,2140),(3300,0,1070),(1550,0,1070),(3300,0,50),(1550,0,50)]
DOOR6.1.jpg | [(400,400),(670,280),(395,775),(670,790),(390,1150),(670,1300)] | [(13290,2670,2160),(14290,2670,2160),(13290,2670,1080),(14290,2670,1080),(13290,2670,50),(14290,2670,50)]
DOOR6.2.jpg | [(410,360),(620,200),(400,730),(600,750),(390,1100),(580,1300)] | [(13290,2670,2160),(14290,2670,2160),(13290,2670,1080),(14290,2670,1080),(13290,2670,50),(14290,2670,50)]
DOOR6.3.jpg | [(300,280),(820,260),(320,790),(810,790),(340,1300),(800,1300)] | [(13290,2670,2160),(14290,2670,2160),(13290,2670,1080),(14290,2670,1080),(13290,2670,50),(14290,2670,50)]
DOOR6.4.jpg | [(550,500),(1450,1050),(625,2450),(1500,2400),(700,4400),(1500,3800)] | [(13290,2670,2160),(14290,2670,2160),(13290,2670,1080),(14290,2670,1080),(13290,2670,0),(14290,2670,0)]
DOOR6.5.jpg | [(420,180),(590,350),(450,760),(610,750),(470,1340),(620,1150)] | [(13290,2670,2160),(14290,2670,2160),(13290,2670,1080),(14290,2670,1080),(13290,2670,0),(14290,2670,0)]
DOOR7.1.jpg | [(30,330),(700,330),(45,1040),(675,1040),(60,1730),(650,1730)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.2.jpg | [(30,330),(450,460),(45,940),(465,945),(50,1550),(480,1430)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.3.jpg | [(250,270),(660,100),(240,760),(660,765),(240,1250),(660,1430)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.4.jpg | [(270,270),(750,250),(265,725),(730,765),(260,1180),(690,1280)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.5.jpg | [(150,200),(710,200),(150,735),(680,745),(150,1270),(650,1290)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.6.jpg | [(180,160),(620,250),(200,735),(635,700),(220,1290),(650,1150)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR7.7.jpg | [(330,180),(650,300),(350,790),(660,770),(360,1400),(670,1240)] | [(14710,2670,2160),(15710,2670,2160),(14710,2670,1080),(15710,2670,1080),(14710,2670,0),(15710,2670,0)]
DOOR8.1.jpg | [(240,50),(810,110),(280,675),(795,630),(320,1300),(780,1150)] | [(18070,0,2160),(17070,0,2160),(18070,0,1080),(17070,0,1080),(18070,0,50),(17070,0,50)]
DOOR8.2.jpg | [(140,20),(840,10),(150,715),(840,705),(160,1410),(840,1400)] | [(18070,0,2160),(17070,0,2160),(18070,0,1080),(17070,0,1080),(18070,0,50),(17070,0,50)]
DOOR8.3.jpg | [(280,300),(620,200),(270,725),(620,725),(260,1150),(610,1250)] | [(18070,0,2160),(17070,0,2160),(18070,0,1080),(17070,0,1080),(18070,0,50),(17070,0,50)]
DOOR8.4.jpg | [(430,310),(630,140),(420,715),(610,730),(410,1120),(590,1320)] | [(18070,0,2160),(17070,0,2160),(18070,0,1080),(17070,0,1080),(18070,0,50),(17070,0,50)]
DOOR8.5.jpg | [(350,400),(830,250),(350,950),(830,960),(350,1500),(820,1680)] | [(18070,0,2160),(17070,0,2160),(18070,0,1080),(17070,0,1080),(18070,0,50),(17070,0,50)]
DOOR9.jpg | [(20,30),(440,30),(840,30),(45,470),(440,470),(830,470),(60,950),(440,950),(830,950)] | [(20550,2321,2140),(20550,1400,2140),(20550,480,2140),(20550,2321,1070),(20550,1400,1070),(20550,480,1070),(20550,2321,0),(20550,1400,0),(20550,480,0)]
DOOR9.1.jpg | [(20,560),(450,560),(840,560),(35,1000),(450,1000),(830,1000),(50,1460),(450,1460),(820,1460)] | [(20550,2321,2140),(20550,1400,2140),(20550,480,2140),(20550,2321,1070),(20550,1400,1070),(20550,480,1070),(20550,2321,50),(20550,1400,50),(20550,480,50)]
DOOR9.2.jpg | [(50,200),(530,205),(1000,210),(50,775),(550,775),(1020,775),(50,1350),(550,1350),(1030,1350)] | [(20550,2321,2140),(20550,1400,2140),(20550,480,2140),(20550,2321,1070),(20550,1400,1070),(20550,480,1070),(20550,2321,0),(20550,1400,0),(20550,480,0)]
